link_id,scenario,fiber_loss_db,splice_total_db,connector_total_db,total_loss_db,rx_power_dbm,margin_db,lpb_status,system_rise_time_ns,allowed_rise_time_ns,rtb_pass,top_contributor_1,top_contributor_2,top_contributor_3
link_00031,base,6.742000,0.891000,0.940000,9.573000,-5.573000,11.427000,PASS,0.737100,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00032,base,8.202000,1.224000,1.856000,11.782000,-5.782000,11.218000,PASS,0.673400,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00033,base,11.139000,1.548000,0.630000,13.817000,-5.817000,18.183000,PASS,0.771300,280.000000,true,fiber_loss_db,splice_total_db,connector_total_db
link_00034,base,3.135000,0.216000,1.280000,6.131000,1.869000,26.869000,PASS,0.504500,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00035,base,15.496000,1.728000,0.926000,19.650000,-13.650000,10.350000,PASS,0.787400,280.000000,true,fiber_loss_db,splice_total_db,splitter_loss_db
link_00036,base,19.290000,1.020000,1.986000,22.796000,-16.796000,8.204000,PASS,0.785800,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00037,base,4.782000,0.714000,1.236000,7.232000,-1.232000,20.768000,PASS,0.639100,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00038,base,14.796000,1.404000,1.926000,19.626000,-13.626000,9.374000,PASS,0.769900,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00039,base,4.645000,0.315000,0.582000,6.542000,1.458000,25.458000,PASS,0.492900,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00040,base,12.020000,0.944000,3.504000,17.468000,-11.468000,3.532000,PASS,0.640400,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00041,base,5.112000,0.288000,0.976000,6.876000,-0.876000,23.124000,PASS,0.527800,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00042,base,6.018000,0.732000,2.784000,10.534000,-8.534000,6.466000,PASS,0.600600,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00043,base,8.439000,1.170000,1.720000,12.329000,-10.329000,6.671000,PASS,0.681300,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00044,base,3.305000,0.222000,3.592000,9.119000,-5.119000,10.881000,PASS,0.466100,280.000000,true,connector_total_db,fiber_loss_db,splitter_loss_db
link_00045,base,9.078000,1.340000,2.580000,14.998000,-6.998000,9.002000,PASS,0.702600,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00046,base,4.972000,0.336000,0.484000,6.792000,-4.792000,21.208000,PASS,0.524300,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00047,base,3.905000,0.166000,2.600000,7.671000,-3.671000,18.329000,PASS,0.478100,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00048,base,3.360000,0.720000,2.556000,8.636000,-6.636000,8.364000,PASS,0.568000,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00049,base,11.968000,0.846000,0.634000,15.448000,-11.448000,5.552000,PASS,0.699200,280.000000,true,fiber_loss_db,splitter_loss_db,splice_total_db
link_00050,base,6.788000,0.638000,1.928000,11.354000,-7.354000,14.646000,PASS,0.739400,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00051,base,4.756000,0.252000,2.264000,9.272000,-3.272000,19.728000,PASS,0.518900,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00052,base,1.533000,0.115000,0.852000,3.500000,-1.500000,21.500000,PASS,0.451100,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00053,base,1.385000,0.117000,1.360000,4.362000,-0.362000,24.638000,PASS,0.427700,280.000000,true,splitter_loss_db,fiber_loss_db,connector_total_db
link_00054,base,1.676000,0.216000,2.238000,6.130000,-4.130000,19.870000,PASS,0.483800,280.000000,true,connector_total_db,splitter_loss_db,fiber_loss_db
link_00055,base,11.668000,1.215000,0.878000,14.261000,-12.261000,13.739000,PASS,0.691700,280.000000,true,fiber_loss_db,splice_total_db,connector_total_db
link_00056,base,3.656000,0.810000,1.856000,7.822000,-1.822000,21.178000,PASS,0.582800,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00057,base,13.396000,1.232000,2.712000,18.840000,-14.840000,2.160000,PASS,0.734900,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00058,base,3.399000,0.375000,2.408000,8.182000,-6.182000,17.818000,PASS,0.513300,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00059,base,3.564000,0.156000,2.202000,6.922000,-2.922000,22.078000,PASS,0.489100,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00060,base,14.680000,0.855000,0.456000,16.991000,-8.991000,14.009000,PASS,0.693600,280.000000,true,fiber_loss_db,splitter_loss_db,splice_total_db
link_00061,base,5.625000,0.450000,1.836000,9.911000,-3.911000,12.089000,PASS,0.512500,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00062,base,2.310000,0.372000,1.028000,5.710000,-3.710000,20.290000,PASS,0.515500,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00063,base,9.760000,0.584000,1.164000,12.508000,-6.508000,17.492000,PASS,0.644000,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00064,base,7.804000,1.781000,2.046000,13.631000,-7.631000,15.369000,PASS,0.790200,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00065,base,7.738000,1.080000,0.746000,10.064000,-4.064000,13.936000,PASS,0.786900,280.000000,true,fiber_loss_db,splice_total_db,connector_total_db
link_00066,base,6.564000,1.060000,3.056000,11.680000,-5.680000,18.320000,PASS,0.728200,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00067,base,6.580000,0.535000,0.766000,8.381000,-0.381000,23.619000,PASS,0.564500,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00068,base,2.970000,0.222000,0.494000,5.686000,-1.686000,25.314000,PASS,0.499000,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00069,base,9.824000,0.968000,1.768000,13.560000,-7.560000,16.440000,PASS,0.645600,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00070,base,9.582000,1.150000,2.688000,13.920000,-9.920000,8.080000,PASS,0.719400,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00071,base,16.060000,1.190000,3.864000,23.114000,-17.114000,0.886000,PASS,0.721200,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00072,base,4.946000,0.472000,1.000000,7.918000,0.082000,25.082000,PASS,0.647300,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00073,base,12.400000,0.680000,3.120000,18.200000,-14.200000,0.800000,PASS,0.710000,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00074,base,3.972000,0.816000,1.938000,8.726000,-0.726000,24.274000,PASS,0.598600,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00075,base,15.168000,0.900000,0.982000,19.050000,-17.050000,0.950000,PASS,0.779200,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00076,base,6.670000,0.759000,2.322000,11.751000,-9.751000,5.249000,PASS,0.733500,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00077,base,12.352000,0.940000,1.888000,16.180000,-12.180000,13.820000,PASS,0.708800,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00078,base,4.143000,0.596000,0.676000,5.915000,-3.915000,14.085000,PASS,0.538100,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00079,base,3.925000,0.296000,1.348000,6.569000,-0.569000,23.431000,PASS,0.478500,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00080,base,18.515000,1.008000,2.676000,23.699000,-19.699000,3.301000,PASS,0.770300,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00081,base,16.910000,0.935000,2.696000,22.041000,-14.041000,8.959000,PASS,0.738200,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00082,base,19.635000,0.702000,3.296000,25.633000,-21.633000,-4.633000,FAIL,0.792700,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00083,base,8.166000,0.900000,2.766000,13.832000,-9.832000,8.168000,PASS,0.672200,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00084,base,10.980000,0.684000,1.812000,15.476000,-13.476000,9.524000,PASS,0.766000,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00085,base,6.874000,1.232000,1.556000,11.162000,-3.162000,20.838000,PASS,0.743700,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00086,base,15.190000,0.670000,2.826000,19.186000,-11.186000,13.814000,PASS,0.703800,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00087,base,1.239000,0.074000,2.960000,5.273000,0.727000,24.727000,PASS,0.441300,280.000000,true,connector_total_db,fiber_loss_db,splitter_loss_db
link_00088,base,1.500000,0.073000,2.028000,4.101000,3.899000,26.899000,PASS,0.450000,280.000000,true,connector_total_db,fiber_loss_db,splitter_loss_db
link_00089,base,9.840000,0.870000,2.352000,15.062000,-9.062000,16.938000,PASS,0.596800,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00090,base,9.680000,0.366000,2.976000,14.522000,-8.522000,14.478000,PASS,0.593600,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00091,base,2.644000,0.564000,3.600000,8.308000,-0.308000,26.692000,PASS,0.532200,280.000000,true,connector_total_db,fiber_loss_db,splitter_loss_db
link_00092,base,4.296000,0.354000,1.552000,6.702000,-0.702000,24.298000,PASS,0.507400,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00093,base,7.500000,0.498000,2.024000,11.022000,-5.022000,20.978000,PASS,0.587500,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00094,base,14.124000,1.551000,3.920000,21.095000,-15.095000,10.905000,PASS,0.753100,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00095,base,4.461000,0.500000,1.832000,8.793000,-6.793000,11.207000,PASS,0.548700,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00096,base,6.514000,0.760000,0.672000,9.446000,-3.446000,18.554000,PASS,0.725700,280.000000,true,fiber_loss_db,splitter_loss_db,splice_total_db
link_00097,base,16.625000,0.583000,2.850000,21.058000,-15.058000,8.942000,PASS,0.732500,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00098,base,5.230000,0.512000,0.582000,8.324000,-0.324000,23.676000,PASS,0.661500,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00099,base,4.368000,0.351000,3.008000,8.727000,-4.727000,10.273000,PASS,0.509200,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00100,base,5.378000,0.952000,1.332000,8.662000,-0.662000,15.338000,PASS,0.668900,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00101,base,2.890000,0.078000,0.970000,5.938000,0.062000,27.062000,PASS,0.457800,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00102,base,3.018000,0.447000,0.884000,5.349000,-3.349000,19.651000,PASS,0.500600,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00103,base,6.580000,0.780000,1.984000,10.844000,-6.844000,19.156000,PASS,0.729000,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00104,base,2.472000,0.258000,1.508000,4.738000,-2.738000,23.262000,PASS,0.461800,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00105,base,1.995000,0.095000,2.124000,4.714000,3.286000,28.286000,PASS,0.439900,280.000000,true,connector_total_db,fiber_loss_db,splitter_loss_db
link_00106,base,2.084000,0.168000,3.632000,7.884000,-5.884000,18.116000,PASS,0.504200,280.000000,true,connector_total_db,fiber_loss_db,splitter_loss_db
link_00107,base,8.252000,0.666000,0.476000,10.894000,-2.894000,22.106000,PASS,0.606300,280.000000,true,fiber_loss_db,splitter_loss_db,splice_total_db
link_00108,base,4.940000,1.032000,0.912000,7.884000,-1.884000,13.116000,PASS,0.647000,280.000000,true,fiber_loss_db,splice_total_db,splitter_loss_db
link_00109,base,17.875000,1.012000,0.588000,20.975000,-12.975000,11.025000,PASS,0.757500,280.000000,true,fiber_loss_db,splitter_loss_db,splice_total_db
link_00110,base,3.244000,0.665000,0.660000,6.069000,-2.069000,15.931000,PASS,0.562200,280.000000,true,fiber_loss_db,splitter_loss_db,splice_total_db
link_00111,base,9.256000,0.959000,3.680000,14.395000,-8.395000,13.605000,PASS,0.631400,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00112,base,7.446000,0.928000,1.816000,11.690000,-5.690000,18.310000,PASS,0.648200,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00113,base,3.194000,0.555000,1.254000,6.503000,-0.503000,22.497000,PASS,0.559700,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00114,base,4.122000,0.548000,1.768000,6.938000,-0.938000,26.062000,PASS,0.537400,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00115,base,8.864000,0.462000,2.496000,12.322000,-4.322000,10.678000,PASS,0.621600,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00116,base,3.955000,0.232000,3.056000,9.243000,-7.243000,15.757000,PASS,0.479100,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00117,base,6.138000,0.780000,2.864000,11.282000,-9.282000,14.718000,PASS,0.706900,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00118,base,6.808000,0.725000,1.716000,10.749000,-8.749000,15.251000,PASS,0.570200,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00119,base,1.145000,0.103000,1.400000,4.148000,3.852000,28.852000,PASS,0.422900,280.000000,true,splitter_loss_db,connector_total_db,fiber_loss_db
link_00120,base,17.375000,1.562000,2.238000,23.175000,-21.175000,-3.175000,FAIL,0.747500,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00121,base,7.148000,0.335000,3.600000,12.583000,-10.583000,7.417000,PASS,0.578700,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00122,base,6.818000,0.990000,2.544000,11.352000,-7.352000,7.648000,PASS,0.740900,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00123,base,3.356000,0.246000,1.084000,5.686000,-3.686000,20.314000,PASS,0.483900,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00124,base,4.295000,0.192000,3.232000,9.219000,-5.219000,18.781000,PASS,0.485900,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00125,base,12.915000,0.752000,2.634000,16.801000,-12.801000,5.199000,PASS,0.658300,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00126,base,0.964000,0.087000,1.338000,2.889000,5.111000,23.111000,PASS,0.448200,280.000000,true,connector_total_db,fiber_loss_db,splitter_loss_db
link_00127,base,6.381000,0.574000,2.800000,10.255000,-2.255000,19.745000,PASS,0.612700,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00128,base,6.564000,0.750000,3.976000,12.290000,-6.290000,17.710000,PASS,0.728200,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00129,base,7.376000,1.548000,1.320000,10.744000,-2.744000,13.256000,PASS,0.768800,280.000000,true,fiber_loss_db,splice_total_db,connector_total_db
link_00130,base,3.338000,0.540000,1.900000,7.278000,-1.278000,22.722000,PASS,0.566900,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00131,base,11.416000,0.954000,2.664000,15.534000,-7.534000,18.466000,PASS,0.685400,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00132,base,7.236000,0.408000,1.212000,10.856000,-4.856000,18.144000,PASS,0.580900,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00133,base,8.000000,1.313000,0.798000,11.111000,-7.111000,15.889000,PASS,0.800000,280.000000,true,fiber_loss_db,splice_total_db,splitter_loss_db
link_00134,base,1.572000,0.182000,1.964000,5.218000,-1.218000,21.782000,PASS,0.478600,280.000000,true,connector_total_db,fiber_loss_db,splitter_loss_db
link_00135,base,15.890000,1.400000,1.240000,20.530000,-16.530000,7.470000,PASS,0.717800,280.000000,true,fiber_loss_db,splitter_loss_db,splice_total_db
link_00136,base,3.813000,0.520000,1.848000,6.681000,1.319000,18.319000,PASS,0.527100,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00137,base,7.044000,1.386000,2.010000,11.440000,-9.440000,13.560000,PASS,0.752200,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00138,base,1.098000,0.091000,2.808000,4.997000,-0.997000,15.003000,PASS,0.454900,280.000000,true,connector_total_db,fiber_loss_db,splitter_loss_db
link_00139,base,1.020000,0.134000,2.622000,4.776000,-0.776000,22.224000,PASS,0.451000,280.000000,true,connector_total_db,fiber_loss_db,splitter_loss_db
link_00140,base,18.430000,1.344000,0.412000,21.186000,-13.186000,9.814000,PASS,0.768600,280.000000,true,fiber_loss_db,splice_total_db,splitter_loss_db
link_00141,base,6.855000,0.560000,0.544000,9.959000,-1.959000,21.041000,PASS,0.628500,280.000000,true,fiber_loss_db,splitter_loss_db,splice_total_db
link_00142,base,10.137000,0.869000,0.768000,12.774000,-4.774000,19.226000,PASS,0.737900,280.000000,true,fiber_loss_db,splitter_loss_db,splice_total_db
link_00143,base,1.824000,0.267000,1.704000,5.795000,-3.795000,23.205000,PASS,0.491200,280.000000,true,splitter_loss_db,fiber_loss_db,connector_total_db
link_00144,base,4.656000,0.222000,0.862000,7.240000,-5.240000,21.760000,PASS,0.516400,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00145,base,7.695000,0.565000,0.876000,11.136000,-5.136000,17.864000,PASS,0.553900,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00146,base,3.864000,0.306000,2.208000,7.378000,-3.378000,19.622000,PASS,0.496600,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00147,base,6.952000,1.430000,3.736000,14.118000,-12.118000,12.882000,PASS,0.747600,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00148,base,6.676000,0.710000,2.640000,12.026000,-8.026000,6.974000,PASS,0.566900,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00149,base,4.978000,0.464000,1.752000,9.194000,-5.194000,19.806000,PASS,0.648900,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00150,base,9.435000,0.462000,0.446000,12.343000,-4.343000,18.657000,PASS,0.588700,280.000000,true,fiber_loss_db,splitter_loss_db,splice_total_db
link_00151,base,16.220000,0.530000,0.542000,18.792000,-14.792000,9.208000,PASS,0.724400,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00152,base,15.232000,1.044000,0.744000,18.520000,-16.520000,6.480000,PASS,0.780800,280.000000,true,fiber_loss_db,splitter_loss_db,splice_total_db
link_00153,base,8.004000,0.800000,3.792000,13.096000,-9.096000,15.904000,PASS,0.666800,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00154,base,5.945000,0.210000,1.824000,9.979000,-1.979000,22.021000,PASS,0.518900,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00155,base,5.822000,0.945000,2.802000,10.569000,-8.569000,16.431000,PASS,0.691100,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00156,base,7.448000,1.788000,1.084000,12.320000,-8.320000,17.680000,PASS,0.772400,280.000000,true,fiber_loss_db,splitter_loss_db,splice_total_db
link_00157,base,4.610000,0.399000,4.000000,11.009000,-5.009000,11.991000,PASS,0.630500,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00158,base,6.246000,0.950000,1.434000,9.630000,-7.630000,16.370000,PASS,0.712300,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00159,base,2.760000,0.132000,2.880000,6.772000,-4.772000,19.228000,PASS,0.469000,280.000000,true,connector_total_db,fiber_loss_db,splitter_loss_db
link_00160,base,11.325000,1.368000,1.428000,15.621000,-9.621000,13.379000,PASS,0.777500,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00161,base,2.220000,0.134000,0.896000,3.750000,0.250000,25.250000,PASS,0.455500,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00162,base,7.608000,1.200000,2.358000,12.666000,-6.666000,16.334000,PASS,0.780400,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00163,base,6.516000,1.190000,1.328000,11.034000,-3.034000,20.966000,PASS,0.725800,280.000000,true,fiber_loss_db,splitter_loss_db,connector_total_db
link_00164,base,5.972000,0.592000,1.712000,8.776000,-4.776000,20.224000,PASS,0.549300,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00165,base,5.919000,0.360000,2.904000,11.183000,-5.183000,11.817000,PASS,0.597300,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00166,base,10.464000,1.386000,3.992000,17.842000,-13.842000,11.158000,PASS,0.748800,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00167,base,6.860000,0.588000,1.500000,9.448000,-7.448000,14.552000,PASS,0.537200,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00168,base,4.162000,0.558000,2.508000,9.228000,-1.228000,25.772000,PASS,0.608100,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00169,base,3.444000,0.445000,3.432000,8.821000,-4.821000,20.179000,PASS,0.572200,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00170,base,12.840000,0.696000,2.202000,17.238000,-15.238000,10.762000,PASS,0.656800,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00171,base,1.912000,0.192000,2.646000,6.750000,1.250000,26.250000,PASS,0.495600,280.000000,true,connector_total_db,splitter_loss_db,fiber_loss_db
link_00172,base,10.782000,0.979000,2.268000,16.029000,-12.029000,12.971000,PASS,0.759400,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00173,base,2.678000,0.592000,2.634000,6.404000,-4.404000,20.596000,PASS,0.533900,280.000000,true,fiber_loss_db,connector_total_db,splice_total_db
link_00174,base,3.627000,0.408000,1.952000,6.987000,-2.987000,19.013000,PASS,0.520900,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
link_00175,base,19.015000,0.972000,1.296000,22.283000,-20.283000,5.717000,PASS,0.780300,280.000000,true,fiber_loss_db,connector_total_db,splitter_loss_db
