link_id,scenario,tx_power_dbm,rx_sensitivity_dbm,system_margin_db,fiber_length_km,fiber_att_db_per_km,n_splice,splice_loss_db,n_connector,connector_loss_db,splitter_loss_db,other_loss_db
link_00072,base,8,-29,4,24.73,0.2,8,0.059,2,0.5,1.5,1.44
link_00073,base,4,-20,5,31.0,0.4,10,0.068,8,0.39,2.0,2.42
link_00074,base,8,-29,4,19.86,0.2,6,0.136,6,0.323,2.0,0.72
link_00075,base,2,-20,2,37.92,0.4,12,0.075,2,0.491,2.0,2.16
link_00076,base,2,-20,5,33.35,0.2,11,0.069,6,0.387,2.0,1.56
link_00077,base,4,-29,3,30.88,0.4,10,0.094,8,0.236,1.0,1.77
link_00078,base,2,-20,2,13.81,0.3,4,0.149,2,0.338,0.5,1.62
link_00079,base,6,-29,5,7.85,0.5,2,0.148,4,0.337,1.0,0.96
link_00080,base,4,-27,4,37.03,0.5,12,0.084,6,0.446,1.5,1.82
link_00081,base,8,-28,5,33.82,0.5,11,0.085,8,0.337,1.5,2.17
link_00082,base,4,-20,3,39.27,0.5,13,0.054,8,0.412,2.0,0.97
link_00083,base,4,-20,2,27.22,0.3,9,0.1,6,0.461,2.0,0.25
link_00084,base,2,-28,5,36.6,0.3,12,0.057,6,0.302,2.0,1.62
link_00085,base,8,-29,5,34.37,0.2,11,0.112,4,0.389,1.5,2.49
link_00086,base,8,-27,2,30.38,0.5,10,0.067,6,0.471,0.5,0.81
link_00087,base,6,-29,5,4.13,0.3,1,0.074,8,0.37,1.0,0.42
link_00088,base,8,-28,5,5.0,0.3,1,0.073,6,0.338,0.5,2.25
link_00089,base,6,-28,2,19.68,0.5,6,0.145,6,0.392,2.0,1.73
link_00090,base,6,-28,5,19.36,0.5,6,0.061,8,0.372,1.5,2.48
link_00091,base,8,-29,2,13.22,0.2,4,0.141,8,0.45,1.5,1.94
link_00092,base,6,-28,3,10.74,0.4,3,0.118,4,0.388,0.5,0.77
link_00093,base,6,-28,2,18.75,0.4,6,0.083,8,0.253,1.0,1.97
link_00094,base,6,-29,3,35.31,0.4,11,0.141,8,0.49,1.5,1.87
link_00095,base,2,-20,2,14.87,0.3,4,0.125,4,0.458,2.0,2.42
link_00096,base,6,-27,5,32.57,0.2,10,0.076,2,0.336,1.5,1.46
link_00097,base,6,-27,3,33.25,0.5,11,0.053,6,0.475,1.0,1.62
link_00098,base,8,-29,5,26.15,0.2,8,0.064,2,0.291,2.0,0.29
link_00099,base,4,-20,5,10.92,0.4,3,0.117,8,0.376,1.0,2.21
link_00100,base,8,-20,4,26.89,0.2,8,0.119,4,0.333,1.0,2.14
link_00101,base,6,-29,2,5.78,0.5,1,0.078,2,0.485,2.0,0.23
link_00102,base,2,-27,4,10.06,0.3,3,0.149,4,0.221,1.0,1.47
link_00103,base,4,-29,3,32.9,0.2,10,0.078,4,0.496,1.5,2.0
link_00104,base,2,-28,2,6.18,0.4,2,0.129,4,0.377,0.5,0.44
link_00105,base,8,-27,2,3.99,0.5,1,0.095,6,0.354,0.5,1.13
link_00106,base,2,-29,5,10.42,0.2,3,0.056,8,0.454,2.0,1.72
link_00107,base,8,-27,2,20.63,0.4,6,0.111,2,0.238,1.5,0.95
link_00108,base,6,-20,5,24.7,0.2,8,0.129,2,0.456,1.0,1.08
link_00109,base,8,-29,5,35.75,0.5,11,0.092,2,0.294,1.5,1.66
link_00110,base,4,-20,2,16.22,0.2,5,0.133,2,0.33,1.5,2.03
link_00111,base,6,-27,5,23.14,0.4,7,0.137,8,0.46,0.5,2.42
link_00112,base,6,-27,3,24.82,0.3,8,0.116,4,0.454,1.5,2.11
link_00113,base,6,-28,5,15.97,0.2,5,0.111,6,0.209,1.5,1.76
link_00114,base,6,-29,2,13.74,0.3,4,0.137,8,0.221,0.5,0.23
link_00115,base,8,-20,5,22.16,0.4,7,0.066,6,0.416,0.5,2.21
link_00116,base,2,-27,4,7.91,0.5,2,0.116,8,0.382,2.0,0.68
link_00117,base,2,-29,5,30.69,0.2,10,0.078,8,0.358,1.5,0.11
link_00118,base,2,-27,3,17.02,0.4,5,0.145,4,0.429,1.5,0.82
link_00119,base,8,-28,3,2.29,0.5,1,0.103,4,0.35,1.5,0.18
link_00120,base,2,-20,2,34.75,0.5,11,0.142,6,0.373,2.0,1.77
link_00121,base,2,-20,2,17.87,0.4,5,0.067,8,0.45,1.5,0.22
link_00122,base,4,-20,5,34.09,0.2,11,0.09,6,0.424,1.0,0.83
link_00123,base,2,-28,4,8.39,0.4,2,0.123,4,0.271,1.0,0.64
link_00124,base,4,-27,3,8.59,0.5,2,0.096,8,0.404,1.5,2.16
link_00125,base,4,-20,2,25.83,0.5,8,0.094,6,0.439,0.5,0.88
link_00126,base,8,-20,2,4.82,0.2,1,0.087,6,0.223,0.5,1.54
link_00127,base,8,-27,5,21.27,0.3,7,0.082,8,0.35,0.5,1.13
link_00128,base,6,-27,3,32.82,0.2,10,0.075,8,0.497,1.0,0.91
link_00129,base,8,-20,4,36.88,0.2,12,0.129,6,0.22,0.5,1.39
link_00130,base,6,-28,4,16.69,0.2,5,0.108,4,0.475,1.5,2.42
link_00131,base,8,-28,2,28.54,0.4,9,0.106,6,0.444,0.5,1.62
link_00132,base,6,-27,4,18.09,0.4,6,0.068,4,0.303,2.0,0.48
link_00133,base,4,-27,4,40.0,0.2,13,0.101,2,0.399,1.0,1.49
link_00134,base,4,-28,5,7.86,0.2,2,0.091,4,0.491,1.5,1.88
link_00135,base,4,-28,4,31.78,0.5,10,0.14,4,0.31,2.0,1.15
link_00136,base,8,-20,3,12.71,0.3,4,0.13,4,0.462,0.5,1.6
link_00137,base,2,-27,4,35.22,0.2,11,0.126,6,0.335,1.0,2.08
link_00138,base,4,-20,4,5.49,0.2,1,0.091,8,0.351,1.0,0.97
link_00139,base,4,-27,4,5.1,0.2,1,0.134,6,0.437,1.0,0.1
link_00140,base,8,-28,5,36.86,0.5,12,0.112,2,0.206,1.0,2.09
link_00141,base,8,-27,4,22.85,0.3,7,0.08,2,0.272,2.0,0.16
link_00142,base,8,-27,3,33.79,0.3,11,0.079,2,0.384,1.0,1.43
link_00143,base,2,-29,2,9.12,0.2,3,0.089,8,0.213,2.0,2.45
link_00144,base,2,-29,2,11.64,0.4,3,0.074,2,0.431,1.5,0.33
link_00145,base,6,-28,5,15.39,0.5,5,0.113,4,0.219,2.0,0.09
link_00146,base,4,-27,4,9.66,0.4,3,0.102,8,0.276,1.0,0.72
link_00147,base,2,-29,4,34.76,0.2,11,0.13,8,0.467,2.0,2.24
link_00148,base,4,-20,5,16.69,0.4,5,0.142,6,0.44,2.0,0.2
link_00149,base,4,-29,4,24.89,0.2,8,0.058,6,0.292,2.0,0.42
link_00150,base,8,-27,4,18.87,0.5,6,0.077,2,0.223,2.0,0.91
link_00151,base,4,-27,3,32.44,0.5,10,0.053,2,0.271,1.5,0.91
link_00152,base,2,-28,5,38.08,0.4,12,0.087,2,0.372,1.5,1.0
link_00153,base,4,-27,2,26.68,0.3,8,0.1,8,0.474,0.5,0.65
link_00154,base,8,-28,4,11.89,0.5,3,0.07,4,0.456,2.0,0.43
link_00155,base,2,-29,4,29.11,0.2,9,0.105,6,0.467,1.0,1.78
link_00156,base,4,-29,3,37.24,0.2,12,0.149,4,0.271,2.0,0.07
link_00157,base,6,-20,3,23.05,0.2,7,0.057,8,0.5,2.0,1.31
link_00158,base,2,-28,4,31.23,0.2,10,0.095,6,0.239,1.0,1.92
link_00159,base,2,-27,3,6.9,0.4,2,0.066,6,0.48,1.0,0.87
link_00160,base,6,-27,4,37.75,0.3,12,0.114,6,0.238,1.5,1.54
link_00161,base,4,-28,3,5.55,0.4,1,0.134,2,0.448,0.5,0.2
link_00162,base,6,-28,5,38.04,0.2,12,0.1,6,0.393,1.5,1.21
link_00163,base,8,-29,5,32.58,0.2,10,0.119,4,0.332,2.0,1.16
link_00164,base,4,-29,4,14.93,0.4,4,0.148,4,0.428,0.5,0.8
link_00165,base,6,-20,3,19.73,0.3,6,0.06,6,0.484,2.0,0.62
link_00166,base,4,-29,4,34.88,0.3,11,0.126,8,0.499,2.0,1.25
link_00167,base,2,-27,5,13.72,0.5,4,0.147,4,0.375,0.5,0.13
link_00168,base,8,-29,2,20.81,0.2,6,0.093,6,0.418,2.0,0.91
link_00169,base,4,-29,4,17.22,0.2,5,0.089,8,0.429,1.5,2.06
link_00170,base,2,-28,2,25.68,0.5,8,0.087,6,0.367,1.5,1.89
link_00171,base,8,-27,2,9.56,0.2,3,0.064,6,0.441,2.0,0.37
link_00172,base,4,-29,4,35.94,0.3,11,0.089,6,0.378,2.0,1.77
link_00173,base,2,-29,4,13.39,0.2,4,0.148,6,0.439,0.5,1.49
link_00174,base,4,-27,5,12.09,0.3,4,0.102,8,0.244,1.0,0.08
link_00175,base,2,-28,2,38.03,0.5,12,0.081,4,0.324,1.0,1.03
link_00176,base,8,-27,3,31.45,0.3,10,0.106,8,0.358,1.5,2.39
link_00177,base,6,-29,4,19.47,0.5,6,0.069,4,0.284,1.5,0.56
link_00178,base,6,-29,3,38.97,0.5,12,0.082,6,0.368,1.5,0.72
link_00179,base,8,-20,4,23.79,0.3,7,0.079,6,0.487,0.5,0.87
link_00180,base,6,-20,3,18.81,0.3,6,0.133,6,0.48,1.5,0.34
link_00181,base,4,-28,2,25.4,0.3,8,0.114,2,0.23,1.5,1.79
link_00182,base,4,-27,3,5.82,0.5,1,0.115,8,0.343,1.0,1.89
link_00183,base,6,-27,2,12.92,0.3,4,0.104,2,0.474,1.0,1.04
link_00184,base,2,-20,5,33.83,0.3,11,0.144,6,0.463,0.5,0.75
link_00185,base,6,-29,5,24.91,0.5,8,0.139,4,0.455,2.0,0.68
link_00186,base,6,-28,5,32.73,0.4,10,0.122,2,0.421,1.5,1.42
link_00187,base,4,-20,5,30.78,0.4,10,0.059,2,0.255,1.0,1.19
link_00188,base,2,-29,5,37.56,0.3,12,0.095,6,0.486,1.5,1.46
link_00189,base,6,-29,3,23.77,0.2,7,0.117,8,0.292,2.0,1.72
link_00190,base,6,-27,4,37.08,0.4,12,0.111,4,0.487,2.0,0.38
link_00191,base,6,-20,5,30.41,0.3,10,0.126,2,0.358,1.5,0.2
link_00192,base,2,-28,3,23.44,0.3,7,0.083,8,0.235,1.0,1.79
link_00193,base,8,-27,5,20.58,0.3,6,0.101,8,0.369,2.0,1.68
link_00194,base,2,-20,4,13.71,0.2,4,0.125,2,0.214,1.5,1.75
link_00195,base,2,-27,5,22.56,0.2,7,0.079,4,0.431,2.0,0.94
link_00196,base,8,-20,5,35.87,0.2,11,0.118,4,0.396,1.5,0.3
link_00197,base,8,-28,3,39.73,0.2,13,0.126,6,0.339,2.0,1.33
link_00198,base,4,-20,4,33.29,0.3,11,0.078,2,0.21,2.0,1.54
link_00199,base,2,-28,3,37.58,0.2,12,0.06,2,0.334,0.5,0.61
link_00200,base,8,-28,3,3.68,0.2,1,0.064,6,0.27,1.5,1.44
link_00201,base,6,-28,4,31.36,0.3,10,0.149,4,0.324,1.5,0.15
link_00202,base,4,-20,5,38.04,0.2,12,0.147,8,0.436,1.5,1.74
link_00203,base,6,-20,3,17.51,0.5,5,0.074,4,0.29,1.0,2.01
link_00204,base,8,-20,3,36.76,0.5,12,0.074,4,0.299,0.5,2.31
link_00205,base,2,-28,2,34.19,0.4,11,0.088,2,0.462,1.0,2.01
link_00206,base,4,-20,3,24.33,0.4,8,0.08,2,0.264,1.0,2.41
link_00207,base,8,-28,3,6.46,0.5,2,0.142,6,0.433,2.0,1.17
link_00208,base,6,-29,4,26.65,0.5,8,0.097,8,0.428,1.5,2.29
link_00209,base,8,-27,3,16.09,0.3,5,0.052,8,0.289,1.0,0.82
link_00210,base,4,-20,4,16.43,0.4,5,0.126,8,0.49,2.0,1.15
link_00211,base,6,-28,3,29.85,0.5,9,0.068,2,0.357,0.5,2.36
link_00212,base,2,-20,3,27.39,0.3,9,0.057,4,0.203,2.0,0.93
link_00213,base,8,-20,2,25.48,0.2,8,0.103,8,0.204,1.5,1.34
link_00214,base,8,-28,2,12.89,0.2,4,0.102,4,0.258,1.5,2.04
link_00215,base,8,-27,4,12.16,0.5,4,0.096,4,0.497,1.0,0.75
link_00216,base,2,-27,2,33.47,0.5,11,0.088,8,0.217,0.5,1.76
link_00217,base,8,-29,2,5.14,0.2,1,0.073,8,0.281,0.5,1.71
link_00218,base,2,-28,4,12.65,0.2,4,0.146,4,0.426,2.0,2.32
link_00219,base,4,-20,4,13.37,0.5,4,0.126,4,0.437,0.5,1.25
link_00220,base,2,-27,5,39.02,0.3,13,0.134,6,0.382,2.0,2.42
link_00221,base,6,-20,5,14.4,0.3,4,0.086,8,0.33,2.0,0.21
link_00222,base,4,-27,2,25.51,0.4,8,0.065,4,0.422,1.5,0.9
link_00223,base,6,-20,4,5.48,0.4,1,0.06,2,0.256,2.0,1.39
link_00224,base,2,-27,2,21.47,0.4,7,0.105,6,0.459,0.5,0.73
link_00225,base,2,-28,3,16.74,0.5,5,0.067,6,0.29,2.0,0.36
link_00226,base,6,-20,4,8.35,0.5,2,0.128,6,0.276,1.0,1.8
link_00227,base,4,-20,2,20.84,0.3,6,0.08,8,0.3,2.0,2.01
link_00228,base,6,-20,3,14.52,0.4,4,0.082,4,0.344,1.0,2.41
link_00229,base,6,-20,3,38.81,0.4,12,0.088,8,0.31,1.0,1.48
link_00230,base,2,-20,3,22.73,0.5,7,0.13,2,0.446,2.0,1.68
link_00231,base,6,-28,4,7.29,0.3,2,0.122,8,0.222,2.0,1.46
link_00232,base,8,-27,4,22.31,0.2,7,0.061,4,0.397,1.5,0.42
link_00233,base,8,-29,5,25.28,0.2,8,0.051,6,0.267,1.0,1.11
link_00234,base,4,-29,2,16.86,0.5,5,0.06,8,0.476,0.5,0.29
link_00235,base,4,-29,4,37.75,0.4,12,0.096,4,0.356,1.5,1.19
link_00236,base,8,-29,2,18.65,0.4,6,0.054,2,0.207,1.5,1.62
link_00237,base,4,-28,3,27.73,0.3,9,0.083,8,0.488,1.0,1.99
link_00238,base,4,-20,5,25.93,0.2,8,0.124,4,0.335,2.0,0.97
link_00239,base,4,-29,2,28.78,0.2,9,0.13,4,0.31,1.0,1.14
link_00240,base,8,-29,5,11.97,0.5,3,0.109,6,0.306,2.0,1.54
link_00241,base,6,-27,3,32.92,0.4,10,0.062,6,0.235,1.5,1.73
link_00242,base,8,-28,5,21.41,0.5,7,0.069,4,0.366,2.0,0.72
link_00243,base,8,-27,4,9.11,0.2,3,0.098,4,0.445,2.0,1.02
link_00244,base,8,-20,3,20.69,0.2,6,0.107,4,0.288,1.5,0.56
link_00245,base,8,-20,2,12.97,0.2,4,0.077,6,0.363,0.5,1.9
link_00246,base,4,-20,2,18.77,0.3,6,0.08,2,0.335,1.5,2.16
link_00247,base,2,-28,3,5.31,0.4,1,0.136,8,0.25,1.0,1.96
link_00248,base,2,-29,4,32.91,0.3,10,0.082,6,0.287,1.5,2.38
link_00249,base,2,-28,5,21.55,0.2,7,0.149,4,0.41,1.0,0.62
link_00250,base,4,-20,5,29.03,0.3,9,0.108,6,0.388,2.0,1.13
link_00251,base,2,-20,4,26.08,0.4,8,0.095,8,0.298,0.5,2.17
link_00252,base,2,-20,4,34.19,0.2,11,0.13,8,0.265,2.0,2.06
link_00253,base,6,-29,4,20.8,0.3,6,0.107,8,0.436,0.5,0.11
link_00254,base,8,-27,2,25.79,0.3,8,0.094,2,0.498,2.0,0.51
link_00255,base,4,-29,3,28.17,0.4,9,0.059,6,0.275,1.5,1.66
link_00256,base,2,-20,4,26.66,0.3,8,0.093,2,0.411,0.5,0.53
link_00257,base,4,-20,2,4.96,0.2,1,0.12,2,0.496,2.0,1.74
link_00258,base,4,-20,2,20.15,0.2,6,0.06,6,0.464,1.0,0.96
link_00259,base,4,-28,2,32.91,0.2,10,0.111,4,0.332,1.0,1.57
link_00260,base,8,-20,3,7.75,0.2,2,0.14,4,0.426,2.0,0.88
link_00261,base,4,-28,4,18.32,0.2,6,0.075,6,0.434,0.5,2.12
link_00262,base,6,-28,3,27.02,0.5,9,0.08,2,0.435,1.0,1.24
link_00263,base,8,-27,2,6.28,0.4,2,0.143,4,0.316,2.0,0.91
link_00264,base,8,-27,2,27.95,0.2,9,0.051,4,0.212,0.5,2.37
link_00265,base,6,-20,5,17.12,0.5,5,0.058,4,0.283,1.5,0.2
link_00266,base,4,-29,5,37.0,0.2,12,0.081,8,0.419,1.0,0.14
link_00267,base,8,-27,5,5.28,0.2,1,0.081,4,0.236,1.0,1.75
link_00268,base,6,-29,3,8.23,0.4,2,0.063,6,0.42,0.5,1.93
link_00269,base,8,-29,2,3.12,0.4,1,0.121,2,0.349,1.5,0.14
link_00270,base,4,-29,3,34.66,0.4,11,0.127,2,0.269,0.5,0.11
link_00271,base,4,-27,5,34.79,0.4,11,0.088,4,0.254,0.5,1.38
link_00272,base,8,-28,4,36.73,0.3,12,0.092,6,0.281,0.5,1.43
link_00273,base,2,-28,3,6.54,0.2,2,0.145,2,0.463,1.5,1.93
link_00274,base,2,-20,2,13.81,0.4,4,0.07,6,0.422,1.0,1.16
link_00275,base,8,-28,3,24.48,0.3,8,0.051,8,0.207,1.5,1.59
link_00276,base,2,-29,2,28.35,0.5,9,0.135,6,0.231,1.0,1.05
link_00277,base,4,-29,2,38.53,0.2,12,0.142,8,0.41,1.5,1.15
link_00278,base,2,-28,5,30.42,0.2,10,0.109,2,0.33,1.0,0.59
link_00279,base,6,-20,4,11.92,0.4,3,0.095,4,0.222,1.0,0.34
link_00280,base,2,-28,2,31.27,0.3,10,0.095,6,0.322,1.5,2.41
link_00281,base,6,-20,4,9.89,0.2,3,0.059,6,0.448,0.5,0.54
link_00282,base,4,-27,3,34.55,0.4,11,0.09,2,0.403,1.5,2.05
link_00283,base,8,-20,3,8.61,0.2,2,0.096,4,0.236,0.5,2.08
link_00284,base,4,-28,5,39.34,0.4,13,0.119,2,0.375,1.5,2.29
link_00285,base,2,-28,5,4.85,0.3,1,0.059,6,0.237,2.0,0.13
link_00286,base,8,-20,5,37.12,0.2,12,0.088,8,0.252,1.0,2.27
link_00287,base,8,-28,2,12.45,0.3,4,0.115,8,0.324,2.0,0.15
link_00288,base,4,-20,3,12.63,0.3,4,0.113,2,0.497,1.5,1.2
link_00289,base,6,-29,5,31.69,0.4,10,0.068,6,0.379,0.5,2.24
link_00290,base,2,-20,4,31.58,0.3,10,0.147,2,0.274,1.0,0.67
link_00291,base,2,-28,5,33.02,0.4,11,0.144,4,0.253,1.5,2.02
link_00292,base,2,-29,3,28.51,0.3,9,0.134,8,0.363,1.0,1.23
link_00293,base,4,-28,2,5.43,0.5,1,0.05,4,0.442,1.5,1.79
link_00294,base,6,-27,2,36.91,0.3,12,0.109,4,0.432,1.5,2.4
link_00295,base,8,-27,4,16.2,0.4,5,0.082,4,0.42,2.0,1.98
link_00296,base,6,-28,4,38.51,0.3,12,0.117,4,0.314,1.5,0.32
link_00297,base,8,-27,3,29.7,0.4,9,0.142,4,0.392,0.5,2.34
link_00298,base,2,-28,4,7.34,0.4,2,0.067,2,0.446,1.5,1.12
link_00299,base,4,-27,4,12.08,0.4,4,0.129,2,0.214,2.0,1.83
link_00300,base,8,-20,5,38.83,0.4,12,0.105,2,0.449,1.0,0.41
link_00301,base,2,-29,2,4.8,0.4,1,0.076,2,0.222,1.0,2.22
link_00302,base,2,-27,4,8.11,0.5,2,0.12,8,0.483,1.0,1.52
link_00303,base,2,-27,4,18.5,0.3,6,0.147,8,0.409,1.5,1.65
link_00304,base,2,-27,5,13.3,0.5,4,0.065,6,0.201,0.5,0.74
link_00305,base,8,-28,2,27.16,0.2,9,0.071,6,0.493,2.0,2.11
link_00306,base,8,-20,5,13.72,0.4,4,0.059,8,0.255,2.0,0.92
link_00307,base,6,-20,5,18.94,0.4,6,0.073,6,0.369,1.0,1.88
link_00308,base,2,-29,5,27.36,0.3,9,0.105,8,0.446,2.0,2.41
link_00309,base,8,-28,5,28.11,0.4,9,0.058,2,0.351,1.0,0.3
link_00310,base,4,-28,3,30.77,0.3,10,0.063,8,0.224,2.0,0.5
link_00311,base,4,-29,4,33.26,0.2,11,0.059,8,0.366,1.5,1.3
link_00312,base,2,-20,2,36.85,0.5,12,0.065,2,0.477,0.5,1.96
link_00313,base,6,-20,4,34.96,0.5,11,0.115,8,0.211,1.5,1.01
link_00314,base,8,-27,5,25.49,0.4,8,0.119,2,0.424,1.5,2.24
link_00315,base,6,-29,4,2.77,0.5,1,0.136,2,0.492,1.0,0.34
link_00316,base,8,-29,4,39.02,0.5,13,0.11,2,0.256,1.0,2.28
link_00317,base,8,-29,2,17.47,0.3,5,0.057,8,0.241,0.5,0.43
link_00318,base,4,-27,3,35.26,0.2,11,0.096,6,0.411,1.5,0.92
link_00319,base,8,-27,2,19.64,0.3,6,0.087,8,0.253,2.0,1.47
link_00320,base,4,-29,2,15.29,0.4,5,0.053,2,0.249,1.0,2.14
link_00321,base,4,-29,5,26.6,0.2,8,0.136,2,0.342,1.0,1.62
link_00322,base,2,-28,4,24.84,0.4,8,0.121,6,0.327,2.0,2.13
link_00323,base,4,-20,4,19.44,0.5,6,0.108,2,0.353,1.5,1.4
link_00324,base,6,-29,2,24.56,0.5,8,0.056,6,0.392,1.5,0.65
link_00325,base,6,-28,3,29.02,0.3,9,0.14,8,0.398,1.0,1.8
link_00326,base,6,-29,5,26.91,0.5,8,0.089,2,0.375,1.0,0.86
link_00327,base,8,-29,4,29.11,0.3,9,0.134,4,0.288,2.0,0.32
link_00328,base,4,-29,2,11.83,0.3,3,0.086,6,0.326,1.5,0.93
